[326448][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06864506751298904, 'lighthouse.angle1y_3': -0.4464089870452881} 
[326458][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06865207105875015, 'lighthouse.angle1y_3': -0.44633880257606506} 
[326468][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06865207105875015, 'lighthouse.angle1y_3': -0.44633880257606506} 
[326478][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06865207105875015, 'lighthouse.angle1y_3': -0.44633880257606506} 
[326488][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06865207105875015, 'lighthouse.angle1y_3': -0.44633880257606506} 
[326499][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.06867146492004395, 'lighthouse.angle1y_3': -0.44644975662231445} 
[326508][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.06867146492004395, 'lighthouse.angle1y_3': -0.44644975662231445} 
[326518][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.06865207105875015, 'lighthouse.angle1y_3': -0.44633880257606506} 
[326528][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.06865207105875015, 'lighthouse.angle1y_3': -0.44633880257606506} 
[326538][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.06866489350795746, 'lighthouse.angle1y_3': -0.44643959403038025} 
[326548][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.06866489350795746, 'lighthouse.angle1y_3': -0.44643959403038025} 
[326558][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.06866489350795746, 'lighthouse.angle1y_3': -0.44643959403038025} 
[326568][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.06866489350795746, 'lighthouse.angle1y_3': -0.44643959403038025} 
[326578][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.06860551983118057, 'lighthouse.angle1y_3': -0.44634801149368286} 
[326588][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.06860551983118057, 'lighthouse.angle1y_3': -0.44634801149368286} 
[326598][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.06861858814954758, 'lighthouse.angle1y_3': -0.4464484453201294} 
[326608][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.06861858814954758, 'lighthouse.angle1y_3': -0.4464484453201294} 
[326618][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.0686318501830101, 'lighthouse.angle1y_3': -0.44646894931793213} 
[326628][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.0686318501830101, 'lighthouse.angle1y_3': -0.44646894931793213} 
[326638][lighthouse3]: {'lighthouse.angle0x_3': 0.010739296674728394, 'lighthouse.angle0y_3': -0.34863659739494324, 'lighthouse.angle1x_3': -0.06857261806726456, 'lighthouse.angle1y_3': -0.4463775157928467} 
[326648][lighthouse3]: {'lighthouse.angle0x_3': 0.010785356163978577, 'lighthouse.angle0y_3': -0.34875792264938354, 'lighthouse.angle1x_3': -0.06857261806726456, 'lighthouse.angle1y_3': -0.4463775157928467} 
[326659][lighthouse3]: {'lighthouse.angle0x_3': 0.010785356163978577, 'lighthouse.angle0y_3': -0.34875792264938354, 'lighthouse.angle1x_3': -0.06854621320962906, 'lighthouse.angle1y_3': -0.44633668661117554} 
[326668][lighthouse3]: {'lighthouse.angle0x_3': 0.010772377252578735, 'lighthouse.angle0y_3': -0.3488236665725708, 'lighthouse.angle1x_3': -0.06854621320962906, 'lighthouse.angle1y_3': -0.44633668661117554} 
[326679][lighthouse3]: {'lighthouse.angle0x_3': 0.010772377252578735, 'lighthouse.angle0y_3': -0.3488236665725708, 'lighthouse.angle1x_3': -0.06854640692472458, 'lighthouse.angle1y_3': -0.4462566673755646} 
[326688][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06854640692472458, 'lighthouse.angle1y_3': -0.4462566673755646} 
[326699][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06854621320962906, 'lighthouse.angle1y_3': -0.44633668661117554} 
[326708][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06854621320962906, 'lighthouse.angle1y_3': -0.44633668661117554} 
[326718][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06863225251436234, 'lighthouse.angle1y_3': -0.4463081955909729} 
[326728][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06863225251436234, 'lighthouse.angle1y_3': -0.4463081955909729} 
[326738][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06867790222167969, 'lighthouse.angle1y_3': -0.44645971059799194} 
[326748][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06867790222167969, 'lighthouse.angle1y_3': -0.44645971059799194} 
[326758][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06855279207229614, 'lighthouse.angle1y_3': -0.44634684920310974} 
[326768][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06855279207229614, 'lighthouse.angle1y_3': -0.44634684920310974} 
[326778][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.0683617815375328, 'lighthouse.angle1y_3': -0.4462125897407532} 
